Offering Dept,Subj Area,Catalog,Course Title,Course Description,Total Credits,Component,Session,Section,Class Cap,Class Waitlist Cap,Primary,Secondary,Class(es) Per Week,Minutes Per Session,Final Exam,Pass/Fail Conversion ,Instructor Name,Additional Information
ACF,ACCT,100,Principles of Financial Accounting,"The course is designed to provide an understanding of financial accounting fundamentals for prospective users of corporate financial information, such as investors, creditors, employees, and other stakeholders (e.g., suppliers, customers). The course focuses on understanding how economic events such as operating activities, corporate investments, and financing transactions are recorded in the three main financial statements (i.e., the income statement, balance sheet, and statement of cash flows). The main emphasis of this course is placed on the basic framework of accounting so as to provide the student with an understanding of the fundamental accounting principles and concepts. A heavy reliance will be placed on problem solving and practical analyses to achieve the aforementioned level of understanding. Students will develop the technical skills needed to analyze financial statements and disclosures for use in financial analysis. Students will also learn how accounting standards and managerial incentives affect the financial reporting process. The tools and skills you learn in this course will help you throughout your professional career and your life.",3.00,LEC,16W,S1,55,5,Yes,No,2,75,Yes,Not Allowed,"Shamim Chaudhri,Ahsan","Enrollment Phase 1: SDSB Freshmen, Soph, Junior, Senior 	
Appt 1: Closed	
Appt 2: Closed	
Appt 3: Closed	
Appt 4: Open	
Appt 5: Open	
Appt 6: Open	
Appt 7: Open	
Appt 8: Open	
Enrollment Phase 2: Any Freshmen, Soph, Junior, Senior 	

Add/Drop Period: Any Freshmen, Soph, Junior, Senior 

The reserved seats will be available to SDSB first-year students during the Add/Drop Period Appointment 3, starting at 9:00 PM on Monday, January 15, 2024. Any remaining seats will be open to all freshmen, sophomores, juniors, and seniors from 10:00 AM on Thursday, January 18 onwards.

Preferred Days, Timings and Venue:
Lec1: TH	(09:30 AM - 10:45 AM) 203
Lec2: MW (11:00 AM - 12:15 PM) A-7"
ACF,ACCT,100,Principles of Financial Accounting,"The course is designed to provide an understanding of financial accounting fundamentals for prospective users of corporate financial information, such as investors, creditors, employees, and other stakeholders (e.g., suppliers, customers). The course focuses on understanding how economic events such as operating activities, corporate investments, and financing transactions are recorded in the three main financial statements (i.e., the income statement, balance sheet, and statement of cash flows). The main emphasis of this course is placed on the basic framework of accounting so as to provide the student with an understanding of the fundamental accounting principles and concepts. A heavy reliance will be placed on problem solving and practical analyses to achieve the aforementioned level of understanding. Students will develop the technical skills needed to analyze financial statements and disclosures for use in financial analysis. Students will also learn how accounting standards and managerial incentives affect the financial reporting process. The tools and skills you learn in this course will help you throughout your professional career and your life.",3.00,LEC,16W,S2,55,5,Yes,No,2,75,Yes,Not Allowed,"Rizwan,Saira","Enrollment Phase 1: SDSB Freshmen, Soph, Junior, Senior 	
Appt 1: Closed	
Appt 2: Closed	
Appt 3: Closed	
Appt 4: Open	
Appt 5: Open	
Appt 6: Open	
Appt 7: Open	
Appt 8: Open	
Enrollment Phase 2: Any Freshmen, Soph, Junior, Senior 	

Add/Drop Period: Any Freshmen, Soph, Junior, Senior 

The reserved seats will be available to SDSB first-year students during the Add/Drop Period Appointment 3, starting at 9:00 PM on Monday, January 15, 2024. Any remaining seats will be open to all freshmen, sophomores, juniors, and seniors from 10:00 AM on Thursday, January 18 onwards.

Preferred Days, Timings and Venue:
Lec1: TH	(09:30 AM - 10:45 AM) 203
Lec2: MW (11:00 AM - 12:15 PM) A-7"
ACF,ACCT,130,Principles of Management Accounting,"Principles of Management Accounting is a foundation level course which introduces students to basic managerial accounting concepts and tools used by corporate managers for intelligent analysis, planning, control and decision making. The emphasis in this course is how basic accounting data converts into essential management information thus forming the basis for decision-making within an organization. Key topics include cost elements, cost behavior, marginal and absorption costing, budgeting, variance analysis, relevant and irrelevant cost for decision making",3.00,LEC,16W,S1,55,5,Yes,No,2,75,Yes,Not Allowed,"Moazzam,Mahin","Enrollment Phase 1: SDSB Soph, Junior, Senior 	
Appt 1: Closed	
Appt 2: Closed	
Appt 3: Open	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Open	
Appt 7: Open	
Appt 8: Open	
Enrollment Phase 2: SDSB Soph, Junior, Senior 	
Add/Drop Phase: SDSB Soph, Junior, Senior
45 seats to be opened during Enrollment Phase 1, and remaining 10 seats will be opened In Add/ Drop Period.

Preferred Days, Timings and Venue:
Lec1: TH	(12:30 PM - 01:45 PM) 101"
ACF,ACCT,220,Corporate Financial Reporting I,"The course builds on your knowledge of accounting theory and techniques as used to record, process, and report financial information. While some emphasis is placed on analysis, interpretation, and use of accounting data for investing, credit, and management decisions, the reporting function of accounting to external users (investors and creditors) will be stressed. The course will focus on the Asset side of the Balance Sheet, covering some elements of the Liabilities / Equity side and the Income Statement.
This course will build the base for more complex reporting issues which will be covered in CFR 2.
Please note that this course is a building block for the financial reporting issues encountered in daily professional life and will partially serve the purpose of preparing students for professional exams (Reporting).",3.00,LEC,16W,S1,55,5,Yes,No,2,75,Yes,Not Allowed,"Rauf,Abdul","Enrollment Phase 1: ACF Soph, Junior, Senior 	
Appt 1: Closed	
Appt 2: Closed	
Appt 3: Open	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Open	
Appt 7: Open	
Appt 8: Open	
Enrollment Phase 2: ACF Soph, Junior, Senior 	
Add/Drop Phase: Any Soph, Junior, Senior

Preferred Days, Timings and Venue:
Lec1: MW (02:00 PM - 03:15 PM) 101"
ACF,ACCT,250,Auditing,"This course introduces students to auditing principles and practice. Students learn International  Auditing  Standards,  profession al  and  ethical  requirements  and  the  Legal  &  Regulatory  Framework  to  conduct  audit  engagements.  The  courses  covers   the  complete  lifecycle  of financial  statement  audits,  covers  acceptance  of  audit  engagements,  developing  a  competitive  proposal,  complying  with  independence  and  other  ethical requirements, risk assessment, development of audit programs, finalization of audit and issuing final auditor’s opinion. This course also gives an overview of governance, internal auditing and assurance engagements other than audit",3.00,LEC,16W,S1,50,5,Yes,No,2,75,Yes,Not Allowed,"ul Abidin,Syed Zain","Enrollment Phase 1: ACF Soph, Junior, Senior 	
Appt 1: Closed	
Appt 2: Closed	
Appt 3: Open	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Open	
Appt 7: Open	
Appt 8: Open	
Enrollment Phase 2: ACF Soph, Junior, Senior 	
Add/Drop Phase: SDSB Soph, Junior, Senior

Preferred Days, Timings and Venue:
Lec1: TH	(11:00 AM - 12:15 PM) A-8
Lec2: TH	(12:30 PM - 01:45 PM) A-8
Lec3: TH	(09:30 AM - 10:45 AM) 204"
ACF,ACCT,250,Auditing,"This course introduces students to auditing principles and practice. Students learn International  Auditing  Standards,  profession al  and  ethical  requirements  and  the  Legal  &  Regulatory  Framework  to  conduct  audit  engagements.  The  courses  covers   the  complete  lifecycle  of financial  statement  audits,  covers  acceptance  of  audit  engagements,  developing  a  competitive  proposal,  complying  with  independence  and  other  ethical requirements, risk assessment, development of audit programs, finalization of audit and issuing final auditor’s opinion. This course also gives an overview of governance, internal auditing and assurance engagements other than audit",3.00,LEC,16W,S2,50,5,Yes,No,2,75,Yes,Not Allowed,"ul Abidin,Syed Zain","Enrollment Phase 1: ACF Soph, Junior, Senior 	
Appt 1: Closed	
Appt 2: Closed	
Appt 3: Open	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Open	
Appt 7: Open	
Appt 8: Open	
Enrollment Phase 2: ACF Soph, Junior, Senior 	
Add/Drop Phase: SDSB Soph, Junior, Senior

Preferred Days, Timings and Venue:
Lec1: TH	(11:00 AM - 12:15 PM) A-8
Lec2: TH	(12:30 PM - 01:45 PM) A-8
Lec3: TH	(09:30 AM - 10:45 AM) 204"
ACF,ACCT,250,Auditing,"This course introduces students to auditing principles and practice. Students learn International  Auditing  Standards,  profession al  and  ethical  requirements  and  the  Legal  &  Regulatory  Framework  to  conduct  audit  engagements.  The  courses  covers   the  complete  lifecycle  of financial  statement  audits,  covers  acceptance  of  audit  engagements,  developing  a  competitive  proposal,  complying  with  independence  and  other  ethical requirements, risk assessment, development of audit programs, finalization of audit and issuing final auditor’s opinion. This course also gives an overview of governance, internal auditing and assurance engagements other than audit",3.00,LEC,16W,S3,50,5,Yes,No,2,75,Yes,Not Allowed,"Moazzam,Mahin","Enrollment Phase 1: ACF Soph, Junior, Senior 	
Appt 1: Closed	
Appt 2: Closed	
Appt 3: Open	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Open	
Appt 7: Open	
Appt 8: Open	
Enrollment Phase 2: ACF Soph, Junior, Senior 	
Add/Drop Phase: SDSB Soph, Junior, Senior

Preferred Days, Timings and Venue:
Lec1: TH	(11:00 AM - 12:15 PM) A-8
Lec2: TH	(12:30 PM - 01:45 PM) A-8
Lec3: TH	(09:30 AM - 10:45 AM) 204"
ACF,ACCT,320,Corporate Financial Reporting II,"The course builds on your knowledge of accounting theory and techniques as used to record, process, and report financial information. CFR-I is a pre-requisite for this course as it expands on the complexities within the reporting standards. CFR-I mainly focused on the Asset and Liability side of the Balance Sheet but CFR-II will dig deep in to Equity and Complexities in the Asset and Liability side as well.

While some emphasis is placed on analysis, interpretation, and use of accounting data for investing, credit, and management decisions, the reporting function of accounting to external users (investors and creditors) will be stressed. 

Please note that this course is the final piece of the puzzle when it comes to reporting. The financial statements of companies will be evaluated in class regularly. This will provide the building blocks for the financial reporting issues encountered in daily professional life and will partially serve the purpose of preparing students for professional exams (Reporting).",3.00,LEC,16W,S1,55,5,Yes,No,2,75,Yes,Not Allowed,Samia Ahmed  Ali,"Enrollment Phase 1: ACF Soph, Junior, Senior 	
Appt 1: Closed	
Appt 2: Closed	
Appt 3: Closed	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Open	
Appt 7: Open	
Appt 8: Open	
Enrollment Phase 2: ACF Soph, Junior, Senior 	
Add/Drop Phase: SDSB Soph, Junior, Senior

Preferred Days, Timings and Venue:
Lec1: MW (11:00 AM - 12:15 PM) 101
Lec2: MW (12:30 PM - 01:45 PM) 101
Lec3: TH	(02:00 PM - 03:15 PM) A-4"
ACF,ACCT,320,Corporate Financial Reporting II,"The course builds on your knowledge of accounting theory and techniques as used to record, process, and report financial information. CFR-I is a pre-requisite for this course as it expands on the complexities within the reporting standards. CFR-I mainly focused on the Asset and Liability side of the Balance Sheet but CFR-II will dig deep in to Equity and Complexities in the Asset and Liability side as well.

While some emphasis is placed on analysis, interpretation, and use of accounting data for investing, credit, and management decisions, the reporting function of accounting to external users (investors and creditors) will be stressed. 

Please note that this course is the final piece of the puzzle when it comes to reporting. The financial statements of companies will be evaluated in class regularly. This will provide the building blocks for the financial reporting issues encountered in daily professional life and will partially serve the purpose of preparing students for professional exams (Reporting).",3.00,LEC,16W,S2,55,5,Yes,No,2,75,Yes,Not Allowed,Samia Ahmed  Ali,"Enrollment Phase 1: ACF Soph, Junior, Senior 	
Appt 1: Closed	
Appt 2: Closed	
Appt 3: Closed	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Open	
Appt 7: Open	
Appt 8: Open	
Enrollment Phase 2: ACF Soph, Junior, Senior 	
Add/Drop Phase: SDSB Soph, Junior, Senior

Preferred Days, Timings and Venue:
Lec1: MW (11:00 AM - 12:15 PM) 101
Lec2: MW (12:30 PM - 01:45 PM) 101
Lec3: TH	(02:00 PM - 03:15 PM) A-4"
ACF,ACCT,320,Corporate Financial Reporting II,"The course builds on your knowledge of accounting theory and techniques as used to record, process, and report financial information. CFR-I is a pre-requisite for this course as it expands on the complexities within the reporting standards. CFR-I mainly focused on the Asset and Liability side of the Balance Sheet but CFR-II will dig deep in to Equity and Complexities in the Asset and Liability side as well.

While some emphasis is placed on analysis, interpretation, and use of accounting data for investing, credit, and management decisions, the reporting function of accounting to external users (investors and creditors) will be stressed. 

Please note that this course is the final piece of the puzzle when it comes to reporting. The financial statements of companies will be evaluated in class regularly. This will provide the building blocks for the financial reporting issues encountered in daily professional life and will partially serve the purpose of preparing students for professional exams (Reporting).",3.00,LEC,16W,S3,55,5,Yes,No,2,75,Yes,Not Allowed,"Ali,Samia Ahmed","Enrollment Phase 1: ACF Soph, Junior, Senior 	
Appt 1: Closed	
Appt 2: Closed	
Appt 3: Closed	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Open	
Appt 7: Open	
Appt 8: Open	
Enrollment Phase 2: ACF Soph, Junior, Senior 	
Add/Drop Phase: SDSB Soph, Junior, Senior

Preferred Days, Timings and Venue:
Lec1: MW (11:00 AM - 12:15 PM) 101
Lec2: MW (12:30 PM - 01:45 PM) 101
Lec3: TH	(02:00 PM - 03:15 PM) A-4"
